"Número de guía","Número de bulto que se va a agregar","Unidad de medida","Detalle de la sustancia UN3373","Detalle del patógeno/virus","Cantidad de embalajes interiores","Estado físico","Cantidad neta por embalaje interior","Detalle de sustancia refrigerante o que sirve para mantener la viabilidad","Número ONU de la sustancia refrigerante si es MP ","Cantidad neta por bulto","Unidad de medida ","Número de bulto"
"888004617241","1.23","L","SUEROS","HEPATITIS B","239","Sustancia liquida",,"DRY ICE ","1845","9","Kg","123"
"888004617241","1.23","L","ORINAS","HEPATITIS B","30","Sustancia liquida",,"DRY ICE","1845","9","Kg","123"
"888004617241","1.23","L","SANGRE","HEPATITIS B ","34","Sustancia liquida",,"DRY ICE ","1845","9","Kg","123"
"888004617241","1.23","L","PLASMA ","HEPATITIS B ","34","Sustancia liquida",,"DRY ICE ","1845","9","Kg","123"
"888004617241","1.23","Kg","HECES ","HEPATITIS B ","13","Sustancia solida",,"DRY ICE ","1845","9","Kg","123"
"888004617241","4.5","L","SUEROS","HEPATITIS B","239","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","45"
"888004617241","4.5","L","ORINAS","HEPATITIS B","30","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","45"
"888004617241","4.5","L","SANGRE ","HEPATITIS B ","34","Sustancia liquida",,"GEL REFIGERANTE ","N/A","3","Kg","45"
"888004617241","4.5","L","PLASMA ","HEPATITIS B","34","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","45"
"888004617241","4.5","Kg","HECES ","HEPATITIS B ","13","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","4.5"
"888004620093","1","L","SUEROSPLASMAS,SECERCION VAGINAL","HERPES,VIH,VPH","33","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","5","Kg","1"
"888004620709","1","L","SUEROS,PLASMAS","HERPES,VIH","23","Sustancia liquida",,"N/A","UN1845","3","Kg","1"
"888004625432","1","L","SANGRE SUERO ","INVESTIGACION","3","Sustancia liquida",,"GEL EFRIGERANTE","N/A","2","Kg","1"
"888004630355","1","L","MUESTRASS BIOLOGICAS","SUERO, PLASMAS ","1","Sustancia liquida",,"DRI ICE - HIELO SECO ","UN1845","3","Kg","1"
"888004630355","2","L","MUESTRAS BIOLOGICAS","SUEROS,PLASMAS ","1","Sustancia liquida",,"DRI ICE, HIELO SECO ","UN1845","3","Kg","2"
"888004630355","3","L","MUESTARS BIOLOGICAS ","SUEROS,PLASMAS ","3","Sustancia liquida",,"DRI ICE - HIELO SECO ","UN1845","3","Kg","3"
"888004631423","1","L","MUESTRAS BIOLOGICAS","SANGRE","1","Sustancia liquida",,"GEL REFRIGERANTE ","UN3373","1","Kg","1"
"888004622710","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","1","Kg","1"
"888004632120","1","L","SUERO,ORINA,SANGRE","RUBEOLA,OTRO CULTIVO,HEMOGLOBINA","112","Sustancia liquida",,"GEL REFRIGERANTE","N/A","2","Kg","1"
"888004632300","1","L","PLASMA","CARGA VIRAL VIH","11","Sustancia liquida",,"HIELO SECO","1845","1","Kg","1"
"13124","1","L","ssq","qwq","1","Sustancia solida",,"ewewdf","2143124","3","N/A","1"
"13124","1","Kg","1","1","1","Sustancia liquida",,"1","1","2","L","1"
"888004632684","1","L","SUEROS,SANGRE TOTAL EDTA,SANGRE HEPARINA,LAVADO BRONQUIAL,PLASMA EDTA,ESPUTOS","VARICELA,ELECTROFORESIS,CARIOTPO,MYCOBACTERIUM,HIV,","16","Sustancia liquida",,"GEL REFRIGERANTE","N/A","2","Kg","1"
"888009625254","1","L","SANGRE ","HIPERCOLESTEROLEMIA ","2","Sustancia liquida",,"PILA DE GEL ","N/A","0,67","Kg","1"
"888009625254","2","L","SANGRE ","HIPERCOLESTEROLEMIA ","2","Sustancia liquida",,"HIELO SECO ","1845","3,93","Kg","2"
