"Número de guía","Número de bulto a agregar","Tipo de embalaje","Detalle naturaleza del envío","Peso neto del hielo seco (Kg)","Peso bruto del bulto (Kg)"
"888005127809","4","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
"5131659","1","POLIESTIRENO EXPANDIDO","MEDICAMENTOS","6","8.5"
"888005135530","1","CAJA NEVERA ","HIELO SECO ","6.6","6.7"
"888005135851","2","CAJA DE CARTON ","SANGRE ","4","6"
"888005135851","2","CAJA DE CARTON ","ORINA ","4","6"
"888005139190","1","CAVA EN CAJA DE CARTON","MUETRAS BIOLOGICAS","1","4"
"888005139309","1","CARTON","DRI ICE - HIELO SECO ","3","4"
"888005140320","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888005141081","1","CARTON","DRI ICE - HIELO SECO ","3","4"
"111105140944","1","CAJA CARTON","MUESTRAS BIOLOGICAS","1","6"
"888005140425","1","CAJA NEVERA ","HIELO SECO ","17.5","18.6"
"888005142512","2","CAJA NEVERA ","HIELO SECO ","3.12","3.2"
"888005145249","1","SANGRE ","TRYPANOSOMA  CRUZI  CHAGA ","2","12"
"888005147386","1","CARTON ","DRI ICE - HIELO SECO ","6","10"
"888005147944","1","CAVA  DE ICOPOR ","SUERO","1","10"
"888005147944","1","CAVA  DE ICOPOR ","SUERO","1","7"
"888005157189","1","nevera","muestras biologicas ","2","3"
"888005167913","1","nevera","muestras biologicas ","4","5"
"888005169700","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005169644","2","CAJA NEVERA ","HIELO SECO ","2.81","2.94"
"5172671","1","CARTON E ICOPOR","HEMOCULTIVOS","4","8.04"
"888005173776","1","CAJA DE ICOPOR","DRY ICE","2","12.6"
"888005174473","1","CARTON","DRI ICE - HIELO SECO ","3","11"
"888005178877","1.2","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005178877","3.4","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005178877","5.6","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005178877","7","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005187246","1","nevera","muestras biologicas ","4","5"
"888005187522","1","CAJA DE CARTON ","INVESTIGACION ","6","10"
"888005188373","2","CAJA DE CARTON","DRY ICCE","0.5","2.4"
"888005201635","1.23","FIBREBOARD BOX","MUESTRAS BIOLOICAS","9","11"
"5203915","1","CAVA DE ICOPOR","HIELO SECO","1","17"
"888005217436","1","CAJA NEVERA ","HIELO SECO ","4.9","5.2"
"888005216659","1","CAJA DE CARTON PRENSADO ","INVESTIGACION","3","4"
"888005216659","2","CAJA DE CARTON PRENSADO","INVESTIGACION","3","4"
"888005216659","3","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005218508","3","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","28","42.4"
"888005219201","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"5216468","1","CABA DE ICOPOR ","MEDICAMNETOS ","3","6"
